time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-07-21T12:44:40.350Z,18.8628333333333,-155.208833333333,5.08,2.77,ml,36,262,,0.15,hv,hv73083147,2022-09-27T16:57:12.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.49,0.66,0.10798577918983,21,reviewed,hv,hv
2022-07-19T17:48:07.680Z,18.8913333333333,-155.2185,6.93,2.86,ml,38,256,,0.15,hv,hv73080667,2022-09-27T16:57:02.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.46,0.47,0.148135264541632,25,reviewed,hv,hv
2022-07-19T05:46:11.080Z,18.8341666666667,-155.2315,8.33,2.63,ml,28,265,,0.16,hv,hv73079817,2022-09-27T16:57:01.040Z,"44 km SE of Naalehu, Hawaii",earthquake,0.77,0.5,0.124615781216019,11,reviewed,hv,hv
2022-07-18T16:02:36.740Z,18.8596666666667,-155.2275,6.58,2.64,md,36,261,,0.19,hv,hv73079007,2022-09-27T16:57:00.040Z,"43 km ESE of Naalehu, Hawaii",earthquake,0.53,0.59,0.113973649376523,12,reviewed,hv,hv
2022-07-18T09:49:14.450Z,18.8166666666667,-155.232166666667,7.34,2.63,md,38,268,,0.17,hv,hv73078822,2022-09-27T16:56:59.040Z,"45 km SE of Naalehu, Hawaii",earthquake,0.54,0.39,0.12271250197176,15,reviewed,hv,hv
2022-07-18T08:01:28.040Z,18.8475,-155.214166666667,7.38,2.8,md,33,264,,0.16,hv,hv73078767,2022-09-27T16:56:59.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.45,0.43,0.126774814359674,14,reviewed,hv,hv
2022-07-18T05:00:24.120Z,18.7613333333333,-155.229833333333,6.58,3,ml,49,275,,0.12,hv,hv73078612,2022-09-27T16:56:58.040Z,"50 km SE of Naalehu, Hawaii",earthquake,0.53,0.65,0.152831637367434,24,reviewed,hv,hv
2022-07-18T04:56:23.830Z,18.7923333333333,-155.256166666667,6.99,2.51,md,37,271,,0.15,hv,hv73078602,2022-09-27T16:56:58.040Z,"45 km SE of Naalehu, Hawaii",earthquake,0.51,0.47,0.149040470880508,13,reviewed,hv,hv
2022-07-17T15:00:14.540Z,18.773,-155.264166666667,10.77,2.51,md,46,274,,0.14,hv,hv73078017,2022-09-27T16:56:58.040Z,"46 km SE of Naalehu, Hawaii",earthquake,0.78,0.99,0.198628988083644,15,reviewed,hv,hv
2022-07-17T12:53:24.210Z,18.7625,-155.254333333333,16.69,2.67,ml,22,285,,0.12,hv,hv73077937,2024-01-09T01:27:55.980Z,"48 km SE of Naalehu, Hawaii",earthquake,0.82,31.61,0.064670925969236,1,reviewed,hv,hv
