Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
32.5,2.263757,8.300827,13.2738,38.12881,0.179062,0.318731,0,0.609776,9.041348,3.303154,1.016968,14.09977,
33,2.247635,9.74181,12.11241,40.82066,0.212737,0.365227,0,0.638189,9.814814,3.165888,0.569841,11.7652,
33.5,2.18026,13.5386,10.51563,41.6361,0.220397,0.324137,0,0.677136,8.778047,2.705837,0.283654,10.81591,
34,0.764739,33.82484,5.182868,42.29167,0.045857,0.191651,0,0.346598,4.124407,1.130454,0.324875,13.50153,
34.5,0.349506,42.55316,2.308957,41.72196,0.130867,-0.017595,0,0.137166,1.770087,0.406829,0.235495,12.70283,
35,0.123369,45.73962,1.195678,41.51492,-0.00163,0.120645,0,0.050394,0.841464,0.191591,0.215826,12.74484,
35.5,-0.025474,47.03916,0.635921,41.33509,0.037231,-0.032056,0,-0.009371,0.493936,0.106079,0.277454,12.47354,
36,-0.026506,47.39536,0.356252,41.52506,0.0227,0.079046,0,0.035813,0.383537,0.100227,0.186794,12.52912,
36.5,-0.067864,47.59655,0.372475,41.12041,-0.038469,-0.068175,0,-0.008363,0.347369,0.025034,0.249898,12.31046,
37,-0.002237,47.41905,0.334172,41.0136,0.016314,-0.025851,0,0.006549,0.345634,0.024986,0.176276,12.76526,
37.5,-0.014271,47.38977,0.316086,41.14367,0.020823,-0.019321,0,-0.013285,0.391143,0.052096,0.187871,12.49533,
38,-0.026496,47.45577,0.332364,41.36979,0.031655,-0.003771,0,0.019068,0.361695,0.098687,0.211875,12.76615,
38.5,-0.004815,47.11103,0.369065,40.83862,0.010972,0.039481,0,0.03151,0.366002,-0.010041,0.18067,12.51635,
39,-0.101335,47.14221,0.449264,40.84591,0.131898,-0.103891,0,0.030486,0.357692,0.015675,0.186185,12.47499,
39.5,-0.012337,47.26648,0.35093,40.84052,0.054101,-0.030831,0,-0.008093,0.385367,0.080991,0.15229,12.35264,
40,-0.027156,47.46419,0.416143,41.0194,-0.061735,0.012858,0,-0.021853,0.378553,0.053961,0.253745,12.60305,
40.5,-0.087189,47.54112,0.406628,41.1488,0.042565,0.026255,0,-0.008643,0.414254,0.064208,0.237556,12.54527,
41,-0.146833,47.50095,0.401879,40.80608,0.02614,0.012442,0,0.001808,0.327104,0.083118,0.206043,12.57377,
41.5,-0.050819,47.36125,0.35119,41.03987,-0.040981,0.048766,0,0.002243,0.30681,0.042923,0.194784,12.36164,
42,-0.054001,47.46483,0.274557,41.07188,0.075623,-0.040589,0,0.038223,0.343899,-0.011774,0.20087,12.66081,
42.5,-0.043132,47.22289,0.372443,41.0166,-0.069621,0.032617,0,-0.002044,0.382651,0.02996,0.292927,12.54503,
43,-0.083352,47.25485,0.31719,40.96226,0.054724,0.026015,0,0.004599,0.37342,0.001427,0.19259,12.35494,
43.5,-0.052105,47.06406,0.329284,40.65798,0.020084,0.044582,0,-0.009476,0.343815,0.007723,0.139884,12.5171,
