Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
159,41.85017,2.059433,5.084847,6.714259,21.21629,0.188378,0.054068,0.628389,9.402804,1.234964,0.130754,9.025609,
160.5,41.97855,2.117305,5.047689,6.738313,21.27344,0.222929,0.062334,0.570263,9.267536,1.188549,0.098385,9.057127,
162,42.16121,2.005935,5.047518,6.689228,21.46214,0.213263,0.051669,0.603707,9.405383,1.263956,0.164225,8.885458,
163.5,41.99982,2.061367,5.060913,6.713863,21.41141,0.133852,0.058495,0.604303,9.296576,1.220693,0.187539,8.873734,
165,42.21425,2.061887,5.052993,6.710952,21.39234,0.188677,0.038272,0.605759,9.408052,1.293272,0.186829,8.910661,
166.5,41.90582,2.00917,4.973896,6.714172,21.28556,0.195388,0.084994,0.620586,9.31444,1.20013,0.208068,8.875283,
168,41.94414,2.112786,4.997312,6.720821,21.28007,0.137831,0.035687,0.624219,9.348148,1.282873,0.170677,8.904769,
169.5,42.18227,2.076894,5.123971,6.678251,21.45896,0.173123,0.071787,0.642793,9.361428,1.259246,0.124922,9.009184,
171,41.93221,2.043185,4.964731,6.629026,21.41856,0.1821,0.052005,0.64642,9.400205,1.20179,0.171309,8.799772,
172.5,42.08111,2.048861,5.031686,6.769869,21.3958,0.170056,0.080961,0.583837,9.265587,1.283376,0.163972,9.00024,
174,42.09257,2.080452,5.121778,6.677329,21.40619,0.180468,0.047826,0.580696,9.368134,1.246788,0.117188,8.929833,
175.5,41.90556,2.046211,5.019488,6.678605,21.36609,0.162308,0.058193,0.587057,9.324306,1.207907,0.111948,9.090894,
177,41.94403,1.937965,5.011793,6.757196,21.33023,0.180644,0.045058,0.615822,9.376321,1.227835,0.148547,8.961002,
178.5,42.01634,2.074515,5.020875,6.76027,21.36119,0.178324,0.079646,0.55737,9.290974,1.251094,0.143556,9.002087,
180,41.89687,2.118782,5.088312,6.79388,21.30431,0.176409,0.078689,0.593375,9.293756,1.210743,0.151305,8.812466,
181.5,41.8647,2.011827,5.006289,6.637588,21.30361,0.174236,0.039636,0.624092,9.309657,1.236876,0.1783,8.925904,
183,41.93568,1.991482,5.024499,6.808575,21.28363,0.204536,0.064115,0.611357,9.369729,1.216299,0.133982,8.788143,
184.5,42.22002,2.066885,5.120023,6.709024,21.43898,0.222606,0.042087,0.605547,9.333407,1.20828,0.195852,8.909062,
186,41.8584,1.93987,5.009309,6.711815,21.29983,0.201334,0.049948,0.606976,9.323732,1.218398,0.16736,9.085653,
187.5,41.96663,2.082534,5.103756,6.69955,21.35856,0.137513,0.057031,0.631367,9.293324,1.333983,0.099358,9.041374,
189,42.06951,2.113429,5.119806,6.744408,21.33885,0.216911,0.06399,0.620906,9.408705,1.235954,0.110369,8.859985,
190.5,42.04631,1.999163,4.979523,6.716168,21.38576,0.217051,0.079681,0.626797,9.485519,1.222088,0.140967,9.133821,
192,42.07817,2.080522,5.101419,6.789773,21.36497,0.189517,0.050696,0.593261,9.232447,1.220207,0.169564,8.949897,
193.5,42.07255,2.124877,5.059141,6.686147,21.34351,0.173782,0.053331,0.663819,9.327036,1.245912,0.154673,8.980176,
